Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
MR,centtend02039,1,The meadian is a good measure of central tendency when the data are normally distributed.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02040,1,The median is a good measure of central tendency when the data are skewed.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02041,1,Normally distributed data are semetrical.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02042,1,Normally distributed data are skewed.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02043,1,"If data are normally distributed, the mean and the medial will be equal.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02044,1,"If data are normally distributed, the mean and the medial will not be equal.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02045,1,"If data are normally distributed, the mean, the median, and the mode will be equal.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02046,1,"If data are skewed, the mean and the median will be equal.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02047,1,"If data are skewed, the mean and the median will not be equal.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02048,1,The mean is affected by outliers.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02049,1,The mean is not affected by outliers.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02050,1,The meadian is strongly affected by outliers.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02051,1,Outliers don't affect the median that much.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02052,1,The mode is the value that appears most often in the data.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02053,1,The mode is the value that appears the least often in the data.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02054,1,A data set can only have one mode.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02055,1,A data set can have more than one mode.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02056,1,Sometimes the values for the mean or the median don't actually occur in the data set.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02057,1,The mode is always an actual value in the data set.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02058,1,The value for the mean is always an actual value in the data set.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02059,1,The mode is useful for categorical data.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02060,1,The mean is useful for categorical data.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02061,1,"When the mean and the median are equal, the data are always normally distributed.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02062,1,"When the mean and the median are equal, the data are symetrically distributed.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02063,1,Data are skewed when there are extreme values on one side of the distribution.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02064,1,Skewed data are symetrically distributed.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02065,1,"When the mean is larger than the median, there are unusually large values in the data set.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02066,1,"When the mean is smaller than the median, there are unusually small values in the data set.",1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02067,1,"When the mean is larger than the median, there are unusually small values in the data set.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02068,1,"When the mean is smaller than the median, there are unusually large values in the data set.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02069,1,"When the mean increases in a data set, all values in the data set increase by the same amount.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,spread02070,1,Range is calculated by subtracting the smallest value in the data set from the largest value.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02071,1,Range is a measure of spread of the data.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02072,1,Range is a measure of central tendency.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
MR,spread02073,1,IQR stands for interquartile range.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,https://www.youtube.com/watch?v=R4yfNi_8Kqw&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=5,,,,,,,,,,,,,,,,
