Type,Title/ID,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
MC,stats01008,What is numeracy?,1,Understanding how numbers relate to real life.,Numeracy is a way to predict the future.,It's going with your gut.,Numeracy is a way to speak with the dead.,,,,,,,,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,,,,,,,,,,,,,,,,
TF,stats01009,Numbers should be presented in units that are meaningful for the reader.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,,,,,,,,,,,,,,,,
TF,stats01010,Extremely unlikely things can happen just by chance.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,,,,,,,,,,,,,,,,
TF,stats01011,Part of understanding statistics is understanding what results mean in real life.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,https://www.youtube.com/watch?v=tN9Xl1AcSv8&index=3&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr,,,,,,,,,,,,,,,,
TF,R01012,R is free stastical software.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=riONFzJdXcs,https://www.youtube.com/watch?v=riONFzJdXcs,,,,,,,,,,,,,,,,
TF,R01013,Rstudio needs R to run.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=riONFzJdXcs,https://www.youtube.com/watch?v=riONFzJdXcs,,,,,,,,,,,,,,,,
TF,R01014,Rstudio helps you create and manage scripts.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=riONFzJdXcs,https://www.youtube.com/watch?v=riONFzJdXcs,,,,,,,,,,,,,,,,
TF,R01015,R is only for programming. It can't do simple math.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
TF,R01016,x=2 and x<-2 mean the same thing in R.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
TF,R01017,Object names in R must begin with a letter (not a number).,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
TF,R01018,R is case sensitive.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
TF,R01019,R is not case sensitive.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
TF,R01020,Putting a number sign (#) at the beginning of a line turns it into a comment in R and R will ignore that line.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
MC,R01021,What symbol is used to make a comment in R?,1,#,$,!,@,*,,,,,,,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,https://www.youtube.com/watch?v=UYclmg1_KLk&t=12s,,,,,,,,,,,,,,,,
TF,R01022,You can import data sets into Rstudio by using the File - Import Dataset menu.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=JYVWufSQ4OI,https://www.youtube.com/watch?v=JYVWufSQ4OI,,,,,,,,,,,,,,,,
TF,R01023,"R indicates missing values by displaying the letters ""NA"".",TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=JYVWufSQ4OI,https://www.youtube.com/watch?v=JYVWufSQ4OI,,,,,,,,,,,,,,,,
MC,R01024,How does R indicate missing values by default?,1,NA,missing,-99,blank,!,,,,,,,https://www.youtube.com/watch?v=JYVWufSQ4OI,https://www.youtube.com/watch?v=JYVWufSQ4OI,,,,,,,,,,,,,,,,
TF,valid01025,Reliability means replicability.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,valid01026,Reliability means measuring what you intend to measure.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,valid01027,Validity means measuring what you intend to measure.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,valid01028,You don't need to be accurate to have validity.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,valid01029,Reliability means getting consistent results.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,valid01030,reliability means being inconsistent.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,valid01031,Validity is akin to consistently hitting the bullseye on a target.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=L-ofOlsuI4U,https://www.youtube.com/watch?v=L-ofOlsuI4U,,,,,,,,,,,,,,,,
TF,R01032,The c() function in R is for concatenating things together.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=2TcPAZOyV0U,https://www.youtube.com/watch?v=2TcPAZOyV0U,,,,,,,,,,,,,,,,
TF,R01033,The c() function in R is for splitting things apart.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=2TcPAZOyV0U,https://www.youtube.com/watch?v=2TcPAZOyV0U,,,,,,,,,,,,,,,,
MR,R01034,Which of the following are mathematical operators used in R? (select all that apply),"1,2,3,4,5",#NAME?,#NAME?,* (mulitply),/ (divide),^ or ** (exponent),add(),subtract(),divide(),power(),x (multiply),,https://www.youtube.com/watch?v=2TcPAZOyV0U,https://www.youtube.com/watch?v=2TcPAZOyV0U,,,,,,,,,,,,,,,,
MR,R01035,Which of the following are logical operators used in R? (select all that apply),"1,2,3,4,5,6",< and >,<= and >=,== (exactly equal to),!= (not equal to),x|y (x OR y),x&y (x AND y),#NAME?,^ (only if),# (hash tag),~ (approximately),,https://www.youtube.com/watch?v=9f2g7RN5N0I,https://www.youtube.com/watch?v=9f2g7RN5N0I,,,,,,,,,,,,,,,,
MR,R01036,What is a data frame in R?,"1,4",It is a structure for storing data sets.,It is used for displaying graphical data.,There is not such thing in R.,It is a convenient way to group study data used for an analysis.,,,,,,,,https://www.youtube.com/watch?v=9f2g7RN5N0I,https://www.youtube.com/watch?v=9f2g7RN5N0I,,,,,,,,,,,,,,,,
MR,R01037,What are characteristics of a data frame in R?,"1,2,3",Rows usually contain observations.,Columns usually contain variables.,Data frames can contain variables of different data types. (e.g. numbers or strings),Only one variable can be stored in a data frame.,Only data for one person can be stored in a data frame.,Variables in a data frame can't be used in a statistical analysis.,,,,,,https://www.youtube.com/watch?v=9f2g7RN5N0I,https://www.youtube.com/watch?v=9f2g7RN5N0I,,,,,,,,,,,,,,,,
TF,vars01038,A variable is a proberty that can take on many values.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
TF,vars01039,A variable can only have a single value.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
TF,vars01040,An independent variable is the variable that is being manipulated.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
TF,vars01041,An independent variable is the one that is changing and is being measured.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
TF,vars01042,A dependent variable is the one that is changing and is being measured.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
TF,vars01043,A dependent variable is the one that is manipulated.,FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01044,In a study testing the effectiveness of a weight loss medication participants are divided into a control group (which receives a placebo) and a medication group (which receives the medication) and their weights are measured after 6 months. What type of variable is group?,1,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01045,In a study testing the effectiveness of a weight loss medication participants are divided into a control group (which receives a placebo) and a medication group (which receives the medication) and their weights are measured after 6 months. What type of variable is weight?,2,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01046,In a study testing the effectiveness of an ADHD medication participants are divided into a control group (which receives a placebo) and a medication group (which receives the medication) and their time able to focus on a topic are measured after 6 months. What type of variable is group?,1,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01047,In a study testing the effectiveness of an ADHD medication participants are divided into a control group (which receives a placebo) and a medication group (which receives the medication) and their time able to focus on a topic are measured after 6 months. What type of variable is time?,2,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01048,"In a study testing the differences in how much men and women love music, participants are divided into groups by sex (male or female) and are administered a questionnaire which measures love of music. What type of variable is sex?",1,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01049,"In a study testing the differences in how much men and women love music, participants are divided into groups by sex (male or female) and are administered a questionnaire which measures love of music. What type of variable is score on the questionnaire?",2,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01050,In a study testing the effectiveness of a medication to increase endurance during exercise participants are divided into a control group (which receives a placebo) and a medication group (which receives the medication) and their time able to exercise are measured after 6 months. What type of variable is group?,1,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01051,In a study testing the effectiveness of a medication to increase endurance during exercise participants are divided into a control group (which receives a placebo) and a medication group (which receives the medication) and their time able to exercise are measured after 6 months. What type of variable is time?,2,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01052,"In a study examining how quickly and accuratly nurses chart on an EMR page when different layouts are used, nurses are divided into three groups. One group charts on the regular EMR page. One group charts on modified layout #1. And one group charts on modified layout #2. After all nurses have completed their charting, the time to complete charting and the number of mistakes are measured. What type of variable is group?",1,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01053,"In a study examining how quickly and accuratly nurses chart on an EMR page when different layouts are used, nurses are divided into three groups. One group charts on the regular EMR page. One group charts on modified layout #1. And one group charts on modified layout #2. After all nurses have completed their charting, the time to complete charting and the number of mistakes are measured. What type of variable is time?",2,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MC,vars01054,"In a study examining how quickly and accuratly nurses chart on an EMR page when different layouts are used, nurses are divided into three groups. One group charts on the regular EMR page. One group charts on modified layout #1. And one group charts on modified layout #2. After all nurses have completed their charting, the time to complete charting and the number of mistakes are measured. What type of variable is number of mistakes?",2,independent variable,dependent variable,not enough information,,,,,,,,,https://www.youtube.com/watch?v=l5wIPzv-_GM,https://www.youtube.com/watch?v=l5wIPzv-_GM,,,,,,,,,,,,,,,,
MR,LoM01055,What are characteristics of nominal level of measurement?,"1,2,3,4,5,6",It is the lowest level of measurement.,It divides observations into groups.,There is no inherent order.,This is a type of categorical variable.,Categories are mutually exclusive.,Can be known as qualitative data.,This level of measurement can be transformed to a lower level of measurement.,Ratios can be formed from numbers on this scale.,There is a known consistent distance between measurement points,It is the next to highest level of measurement.,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01056,What are characteristics of ordinal level of measurement?,"1,2,3,4,5",It is the next to lowest level of measurement.,It divides observations into groups.,There is a specified order,This is a type of categorical variable.,Categories are mutually exclusive.,Ratios can be formed from numbers on this scale.,There is a known consistent distance between measurement points,It is the next to highest level of measurement.,This is a type of continuous variable.,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01057,What are characteristics of interval level of measurement?,"1,2,3,4,5,6",It is the next to highest level of measurement.,There is a known consistent distance between measurement points,The zero point on the scale is not numerically meaningful.,Meaningful ratios can't be formed using numbers on this scale.,This is a type of continuous variable.,This level of measurement can be transformed to a lower level of measurement.,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01058,What are characteristics of ratio level of measurement?,"1,2,3,4,5,6",It is the highest level of measurement.,There is a known consistent distance between measurement points,There is a numerically meaningful zero point.,Ratios can be formed from numbers on this scale.,This is a type of continuous variable.,This level of measurement can be transformed to a lower level of measurement.,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01059,What is true of nominal level data?,"1,2,3",The appropriate descriptive statistics are frequency and percent.,These can be graphed using bar charts or pie charts.,The only meaningful measure of central tendency is the mode.,It is the highest level of measurement.,There is a specified order.,The appropriate descriptive statistics are mean and standard deviation.,Usually psychometric measurements.,Usually physical measurements.,Multiplication and division may be performed.,"The mean, median, and mode are meaningful measures of central tendency.",,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01060,What is true of ordinal level data?,"1,2,3,4,5",The appropriate descriptive statistics are frequency and percent.,These can be graphed using bar charts or pie charts.,The distance between rankings is unknown.,All nominal level tests can be performed.,The median and the mode are meaningful measures of central tendency.,The appropriate descriptive statistics are mean and standard deviation.,Usually psychometric measurements.,Usually physical measurements.,Multiplication and division may be performed.,"The mean, median, and mode are meaningful measures of central tendency.",,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01061,What is true of interval level data?,"1,2,3,4,5,6",The appropriate descriptive statistics are mean and standard deviation.,"The mean, median, and mode are meaningful measures of central tendency.",Zero is arbitrary.,Addition and subtraction may be performed.,Multiplication and division are not really appropriate.,Usually psychometric measurements.,The distance between measurement points is unknown and inconsistent.,It is a categorical variable.,It is the next to lowest level of measurement.,The appropriate descriptive statistics are frequency and percent.,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MR,LoM01062,What is true of ratio level data?,"1,2,3,4,5",The appropriate descriptive statistics are mean and standard deviation.,"The mean, median, and mode are meaningful measures of central tendency.",Addition and subtraction may be performed.,Multiplication and division may be performed.,Usually physical measurements.,Usually psychometric measurements.,The distance between measurement points is unknown and inconsistent.,It is a categorical variable.,It is the lowest level of measurment.,The appropriate descriptive statistics are frequency and percent.,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
TF,LoM01063,When collecting data for research it is a good idea to collect it in the highest level of measurement possible.,TRUE,,,,,,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
TF,LoM01064,"When collecting data for research, it doesn't matter what level of measurement is used.",FALSE,,,,,,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MC,LoM01065,What level of measurement is a variable where the variable is not ordered?,1,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MC,LoM01066,What level of measurement is a variable where the distance between measurement units is unknown or not equal?,2,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MC,LoM01067,"What level of measurement is a variable where the distance between measurement units is known and consistent, but zero doesn't mean none?",3,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MC,LoM01068,What level of measurement is a variable where zero means none and distance between measurement units is known and consistent?,4,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
TF,stats01069,Statistics are used to help test theories.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,vars01070,A variable we think is a CAUSE is called an INDEPENDENT variable or IV for short.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,vars01071,A variable we think is an EFFECT is called a DEPENDENT variable or DV for short.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,vars01072,Another name for an indepent variable (IV) is a predictor variable.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,vars01073,Another name for a dependent variable (DV) is an outcome variable.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01074,Categorical variables are made up of categories.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01075,Continuous variables are made up of numbers.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01076,Nominal level of measurement is categorical.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01077,Ordinal level of measurement is categorical.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01078,Interval level of measurement is continuous.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01079,Ratio level of measurement is continuous.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01080,Nominal variables have a specified order to them.,FALSE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,LoM01081,Interval variables have a numerically meaningful zero point.,FALSE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01082,Assessing validity is one way we try to reduce measurement error.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01083,Assessing reliability is one way we try to reduce measurement error.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01084,Validity means we measure what we intend to measure.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01085,Reliability means we measure consistently (the same way every time).,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01086,We need to be reliable to be valid.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01087,We need to be valid to be reliable.,FALSE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01088,In experimental research we manipulate one variable to see the effect on another.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01089,In correlational research we observe what happens without interfering.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01090,Cross-sectional research measures at a single point in time.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01091,Longitudinal research measures at multiple points in time.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01092,Unsystematic variation is when variation happens by chance.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01093,Systematic variation is when things happen because of manipulation.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
TF,valid01094,Randomization is one way we try to reduce unsystematic variation.,TRUE,,,,,,,,,,,,Field chapter 1,Field chapter 1,,,,,,,,,,,,,,,,
MC,LoM01095,"What level of measurement is a variable called religion where measurements look like Catholic, Protestant, Jewish, Muslim, etc.?",1,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MC,LoM01096,"What level of measurement is a variable called paint color where measurements look like red, orange, yellow, green, etc.?",1,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
MC,LoM01097,"What level of measurement is a variable called sex where measurements look like male, female, other?",1,nominal,ordinal,interval,ratio  ,not enough information,,,,,,,https://www.youtube.com/watch?v=LPHYPXBK_ks,https://www.youtube.com/watch?v=LPHYPXBK_ks,,,,,,,,,,,,,,,,
